start	end	weight	direction
1	fc1	1	0
2	fc1	1	0
3	fc1	1	0
4	fc1	1	0
8	fc1	1	0
1	fc2	1	0
5	fc2	1	0
7	fc2	1	0
1	fc3	1	0
6	fc3	1	0
7	fc3	1	0
1	fc4	1	0
9	fc4	1	0
3	fc4	1	0
1	fc5	1	0
11	fc5	1	0
5	fc5	1	0
1	fc6	1	0
12	fc6	1	0
1	fc7	1	0
13	fc7	1	0
4	fc7	1	0
1	fc8	1	0
14	fc8	1	0
2	fc8	1	0
3	fc8	1	0
4	fc8	1	0
1	fc9	1	0
18	fc9	1	0
2	fc9	1	0
1	fc10	1	0
20	fc10	1	0
2	fc10	1	0
1	fc11	1	0
22	fc11	1	0
2	fc11	1	0
1	fc12	1	0
32	fc12	1	0
2	fc13	1	0
31	fc13	1	0
3	fc14	1	0
10	fc14	1	0
3	fc15	1	0
28	fc15	1	0
3	fc16	1	0
29	fc16	1	0
3	fc17	1	0
33	fc17	1	0
9	fc17	1	0
6	fc18	1	0
11	fc18	1	0
1	fc18	1	0
6	fc19	1	0
17	fc19	1	0
7	fc19	1	0
9	fc20	1	0
31	fc20	1	0
33	fc20	1	0
34	fc20	1	0
14	fc21	1	0
34	fc21	1	0
20	fc22	1	0
34	fc22	1	0
32	fc23	1	0
29	fc23	1	0
34	fc23	1	0
32	fc24	1	0
33	fc24	1	0
34	fc24	1	0
32	fc25	1	0
26	fc25	1	0
25	fc25	1	0
10	fc26	1	0
34	fc26	1	0
28	fc27	1	0
24	fc27	1	0
34	fc27	1	0
28	fc28	1	0
25	fc28	1	0
33	fc29	1	0
24	fc29	1	0
30	fc29	1	0
34	fc29	1	0
33	fc30	1	0
15	fc30	1	0
34	fc30	1	0
33	fc31	1	0
16	fc31	1	0
34	fc31	1	0
33	fc32	1	0
19	fc32	1	0
34	fc32	1	0
33	fc33	1	0
21	fc33	1	0
34	fc33	1	0
33	fc34	1	0
23	fc34	1	0
34	fc34	1	0
24	fc35	1	0
26	fc35	1	0
30	fc36	1	0
27	fc36	1	0
34	fc36	1	0
