start	end	weight	direction
1	2	1	0
1	3	1	0
1	4	1	0
1	5	1	0
1	6	1	0
1	7	1	0
1	8	1	0
1	9	1	0
1	11	1	0
1	12	1	0
1	13	1	0
1	14	1	0
1	18	1	0
1	20	1	0
1	22	1	0
1	32	1	0
2	3	1	0
2	4	1	0
2	8	1	0
2	14	1	0
2	18	1	0
2	20	1	0
2	22	1	0
2	31	1	0
3	4	1	0
3	8	1	0
3	9	1	0
3	14	1	0
3	10	1	0
3	28	1	0
3	29	1	0
3	33	1	0
4	8	1	0
4	13	1	0
4	14	1	0
5	7	1	0
5	11	1	0
6	7	1	0
6	11	1	0
6	17	1	0
7	17	1	0
9	31	1	0
9	33	1	0
9	34	1	0
14	34	1	0
20	34	1	0
32	29	1	0
32	33	1	0
32	26	1	0
32	34	1	0
32	25	1	0
31	33	1	0
31	34	1	0
10	34	1	0
28	24	1	0
28	34	1	0
28	25	1	0
29	34	1	0
33	24	1	0
33	30	1	0
33	34	1	0
33	15	1	0
33	16	1	0
33	19	1	0
33	21	1	0
33	23	1	0
24	26	1	0
24	30	1	0
24	34	1	0
26	25	1	0
30	34	1	0
30	27	1	0
34	27	1	0
34	15	1	0
34	16	1	0
34	19	1	0
34	21	1	0
34	23	1	0
1	31	-1	0
1	10	-1	0
1	28	-1	0
1	29	-1	0
1	33	-1	0
1	17	-1	0
1	24	-1	0
1	26	-1	0
1	30	-1	0
1	34	-1	0
1	25	-1	0
1	27	-1	0
1	15	-1	0
1	16	-1	0
1	19	-1	0
1	21	-1	0
1	23	-1	0
2	5	-1	0
2	6	-1	0
2	7	-1	0
2	9	-1	0
2	11	-1	0
2	12	-1	0
2	13	-1	0
2	32	-1	0
2	10	-1	0
2	28	-1	0
2	29	-1	0
2	33	-1	0
2	17	-1	0
2	24	-1	0
2	26	-1	0
2	30	-1	0
2	34	-1	0
2	25	-1	0
2	27	-1	0
2	15	-1	0
2	16	-1	0
2	19	-1	0
2	21	-1	0
2	23	-1	0
3	5	-1	0
3	6	-1	0
3	7	-1	0
3	11	-1	0
3	12	-1	0
3	13	-1	0
3	18	-1	0
3	20	-1	0
3	22	-1	0
3	32	-1	0
3	31	-1	0
3	17	-1	0
3	24	-1	0
3	26	-1	0
3	30	-1	0
3	34	-1	0
3	25	-1	0
3	27	-1	0
3	15	-1	0
3	16	-1	0
3	19	-1	0
3	21	-1	0
3	23	-1	0
4	5	-1	0
4	6	-1	0
4	7	-1	0
4	9	-1	0
4	11	-1	0
4	12	-1	0
4	18	-1	0
4	20	-1	0
4	22	-1	0
4	32	-1	0
4	31	-1	0
4	10	-1	0
4	28	-1	0
4	29	-1	0
4	33	-1	0
4	17	-1	0
4	24	-1	0
4	26	-1	0
4	30	-1	0
4	34	-1	0
4	25	-1	0
4	27	-1	0
4	15	-1	0
4	16	-1	0
4	19	-1	0
4	21	-1	0
4	23	-1	0
5	6	-1	0
5	8	-1	0
5	9	-1	0
5	12	-1	0
5	13	-1	0
5	14	-1	0
5	18	-1	0
5	20	-1	0
5	22	-1	0
5	32	-1	0
5	31	-1	0
5	10	-1	0
5	28	-1	0
5	29	-1	0
5	33	-1	0
