Kcore	MeanRatioD	StdRatioD	MeanRatioI	StdRatioI	MeanRatioC	StdRatioC	MeanRatioS	StdRatioS	ObservationCount
4	0,0000	0,0000	0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	1
5	0,0000	0,0000	0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	2
6	0,0000	0,0000	0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	5
7	0,2500	0,5000	0,0000	0,0000	0,7500	0,5000	0,0000	0,0000	4
8	0,0000	0,0000	0,0714	0,1890	0,9286	0,1890	0,0000	0,0000	7
9	0,0556	0,1667	0,0000	0,0000	0,9444	0,1667	0,0000	0,0000	9
10	0,0208	0,0589	0,0208	0,0589	0,9583	0,1179	0,0000	0,0000	8
11	0,1280	0,2017	0,0000	0,0000	0,8720	0,2017	0,0000	0,0000	12
12	0,1369	0,2915	0,0000	0,0000	0,8631	0,2915	0,0000	0,0000	12
13	0,1182	0,1861	0,0807	0,1590	0,8010	0,2684	0,0000	0,0000	16
14	0,1152	0,1780	0,1957	0,3465	0,6891	0,3526	0,0000	0,0000	15
15	0,1582	0,1809	0,1865	0,2254	0,6526	0,3154	0,0027	0,0103	14
16	0,1359	0,1652	0,2456	0,3140	0,6081	0,3813	0,0104	0,0417	16
17	0,2743	0,2069	0,2649	0,2582	0,4161	0,3510	0,0448	0,0989	16
18	0,2586	0,2723	0,1927	0,1957	0,5258	0,3930	0,0229	0,0855	14
19	0,2570	0,2694	0,3221	0,3466	0,3847	0,3547	0,0362	0,1062	13
20	0,5000	0,3227	0,2402	0,2308	0,2417	0,2067	0,0182	0,0603	11
21	0,3424	0,2446	0,3588	0,2188	0,2068	0,2076	0,0919	0,1690	12
22	0,3100	0,1893	0,3193	0,1340	0,3249	0,2824	0,0458	0,1375	9
23	0,4512	0,2959	0,3700	0,2906	0,1636	0,1929	0,0152	0,0285	8
24	0,2969	0,1975	0,2652	0,2122	0,3254	0,3376	0,1125	0,2130	8
25	0,2625	0,1611	0,3097	0,1855	0,2750	0,3323	0,1528	0,2407	7
26	0,5547	0,2930	0,2127	0,2251	0,1029	0,1691	0,1297	0,1976	5
27	0,2433	0,1912	0,1977	0,2118	0,2636	0,4196	0,2954	0,2657	5
28	0,2362	0,3879	0,0785	0,1216	0,5160	0,5305	0,1694	0,2624	6
29	0,0000	0,0000	0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	2
30	0,0000	0,0000	0,4667	0,5055	0,3333	0,4714	0,2000	0,4472	5
31	0,0000	0,0000	0,1250	0,2500	0,8750	0,2500	0,0000	0,0000	4
32	0,4167	0,5204	0,0833	0,1443	0,5000	0,5000	0,0000	0,0000	3
