Id mạng	Số node	Số cạnh	Kcore	Tỉ lệ D trong lõi kcore trong cùng	Tỉ lệ I trong lõi kcore trong cùng	Tỉ lệ C trong lõi kcore trong cùng	Tỉ lệ S trong lõi kcore trong cùng
1	178	11855	115	0.2151	0.2500	0.2384	0.2965
2	186	6877	52	0.2622	0.2256	0.2073	0.3049
3	110	4572	70	0.2727	0.2000	0.2636	0.2636
4	158	7783	80	0.2194	0.2710	0.2323	0.2774
5	174	11315	114	0.2890	0.2370	0.2543	0.2197
6	150	4554	44	0.2920	0.2555	0.2117	0.2409
7	154	9873	114	0.2185	0.3113	0.2517	0.2185
8	171	5876	48	0.2803	0.2197	0.1742	0.3258
9	114	4905	73	0.2613	0.2793	0.1892	0.2703
10	135	7621	100	0.2077	0.3154	0.2846	0.1923
11	142	3967	40	0.2692	0.3077	0.2000	0.2231
12	190	3893	30	0.1494	0.2644	0.0460	0.5402
13	100	3735	63	0.2234	0.2021	0.2340	0.3404
14	116	5696	88	0.3043	0.2435	0.2435	0.2087
15	184	12544	117	0.2320	0.2099	0.3094	0.2486
16	116	2942	35	0.2364	0.2545	0.2455	0.2636
17	143	4366	43	0.2769	0.2846	0.1923	0.2462
18	124	1921	21	0.2500	0.1786	0.0893	0.4821
19	128	3434	39	0.2021	0.2021	0.2128	0.3830
20	142	8360	105	0.2388	0.2910	0.2985	0.1716
21	141	4320	45	0.2966	0.2034	0.1864	0.3136
22	187	3583	27	0.1538	0.1978	0.1099	0.5385
23	186	14387	138	0.2333	0.2833	0.2722	0.2111
24	129	3615	39	0.2255	0.2059	0.1863	0.3824
25	135	3895	41	0.2727	0.2893	0.1983	0.2397
26	199	8091	57	0.2751	0.2593	0.2275	0.2381
27	162	10986	121	0.1975	0.2548	0.3121	0.2357
28	102	3342	52	0.2421	0.3684	0.2105	0.1789
29	192	3990	28	0.2400	0.2720	0.0560	0.4320
30	120	5357	77	0.2586	0.2500	0.2500	0.2414
31	139	4289	44	0.2696	0.2000	0.1304	0.4000
32	178	13238	134	0.2386	0.2273	0.3011	0.2330
33	163	8259	82	0.2162	0.1892	0.2635	0.3311
34	169	5766	48	0.2745	0.2288	0.1961	0.3007
35	192	7809	57	0.2147	0.2699	0.1840	0.3313
36	195	7197	51	0.2469	0.2716	0.2099	0.2716
37	200	8282	60	0.2606	0.2485	0.1818	0.3091
38	189	3529	25	0.2269	0.3109	0.1261	0.3361
39	190	10833	92	0.2678	0.2623	0.2077	0.2623
40	193	10852	92	0.2703	0.3135	0.2000	0.2162
41	200	3898	27	0.2041	0.2755	0.0510	0.4694
42	178	3245	28	0.1951	0.1829	0.0488	0.5732
43	197	14322	124	0.2579	0.2158	0.2632	0.2632
44	139	8063	105	0.2774	0.2044	0.2847	0.2336
45	125	6649	95	0.2880	0.2480	0.2160	0.2480
46	152	7062	76	0.2013	0.3087	0.2550	0.2349
47	152	5047	46	0.2222	0.3111	0.1926	0.2741
48	120	3209	38	0.2692	0.2885	0.1442	0.2981
49	142	2267	21	0.2533	0.1733	0.0800	0.4933
50	164	2841	24	0.1707	0.2073	0.1585	0.4634
51	152	4652	43	0.3083	0.2256	0.2105	0.2556
52	190	13397	121	0.2865	0.2865	0.2108	0.2162
53	192	7488	55	0.1622	0.2770	0.1486	0.4122
54	169	10623	111	0.2575	0.2455	0.2754	0.2216
55	200	11975	98	0.2618	0.2618	0.2513	0.2251
56	151	2694	25	0.2621	0.3107	0.0680	0.3592
57	102	3305	51	0.3011	0.2581	0.2258	0.2151
58	133	6766	86	0.2672	0.2672	0.2290	0.2366
59	193	4624	33	0.2421	0.1368	0.0316	0.5895
60	109	4942	80	0.2523	0.2523	0.2897	0.2056
61	193	11199	96	0.2077	0.3279	0.2022	0.2623
62	121	1819	20	0.2133	0.2667	0.1200	0.4000
63	172	11012	109	0.2970	0.2303	0.2061	0.2667
64	168	11868	127	0.2744	0.2439	0.2134	0.2683
65	188	10622	92	0.3279	0.2514	0.2678	0.1530
66	101	1412	20	0.2000	0.2333	0.1000	0.4667
67	200	8053	57	0.2682	0.2179	0.2291	0.2849
68	116	1617	19	0.2424	0.1515	0.1212	0.4848
69	152	8511	96	0.2192	0.3219	0.2466	0.2123
70	146	4568	44	0.2222	0.3333	0.1825	0.2619
71	188	14802	144	0.2287	0.2128	0.2713	0.2872
72	146	4412	42	0.2385	0.2923	0.2308	0.2385
73	145	7892	95	0.2958	0.2254	0.2324	0.2465
74	158	9346	104	0.2611	0.2357	0.2357	0.2675
75	106	4731	78	0.2762	0.2381	0.2095	0.2762
76	157	10421	120	0.2792	0.2597	0.2532	0.2078
77	153	8558	93	0.2552	0.2345	0.2345	0.2759
78	190	6622	49	0.2545	0.2848	0.2303	0.2303
79	179	3285	25	0.2404	0.2981	0.1154	0.3462
80	117	5243	75	0.2564	0.2222	0.2821	0.2393
81	161	4991	44	0.2829	0.2829	0.2368	0.1974
82	164	11279	123	0.2562	0.2250	0.2375	0.2812
83	116	1542	18	0.1757	0.3243	0.1081	0.3919
84	111	4655	71	0.2364	0.2091	0.3455	0.2091
85	141	7547	92	0.2847	0.2482	0.2555	0.2117
86	167	10393	107	0.2561	0.1829	0.2927	0.2683
87	111	5122	82	0.2453	0.3302	0.1981	0.2264
88	110	5032	80	0.2430	0.2430	0.2430	0.2710
89	158	9208	100	0.2026	0.2092	0.2680	0.3203
90	148	9145	111	0.2517	0.2587	0.2378	0.2517
91	109	1402	17	0.3099	0.2817	0.0845	0.3239
92	140	4310	43	0.2149	0.2893	0.2149	0.2810
93	155	3068	28	0.1646	0.2025	0.0759	0.5570
94	188	13008	120	0.2320	0.2597	0.2320	0.2762
95	152	7017	76	0.2766	0.2270	0.1844	0.3121
96	128	5049	63	0.2460	0.3571	0.1905	0.2063
97	182	3409	24	0.2479	0.2308	0.1282	0.3932
98	166	8372	83	0.2500	0.2437	0.2188	0.2875
99	147	8073	93	0.2168	0.2448	0.3077	0.2308
100	190	13364	122	0.2350	0.2404	0.2951	0.2295
101	157	10154	114	0.2680	0.2745	0.1961	0.2614
102	153	9635	112	0.2171	0.2697	0.2632	0.2500
103	174	9113	84	0.2561	0.1890	0.2439	0.3110
104	193	15543	146	0.1915	0.2500	0.2872	0.2713
105	194	4203	30	0.1681	0.3193	0.0588	0.4538
106	138	2165	20	0.2812	0.3021	0.0833	0.3333
107	141	8355	106	0.3015	0.2132	0.2353	0.2500
108	150	8407	96	0.2414	0.2483	0.2414	0.2690
109	192	15418	144	0.2246	0.2460	0.2674	0.2620
110	177	3863	30	0.2400	0.1700	0.1600	0.4300
111	129	7016	97	0.1984	0.2857	0.2937	0.2222
112	163	9937	104	0.2778	0.2099	0.2346	0.2778
113	119	3073	36	0.2404	0.3077	0.2308	0.2212
114	176	11356	111	0.2059	0.2647	0.2353	0.2941
115	160	5344	48	0.2878	0.2374	0.1799	0.2950
116	155	4762	43	0.2449	0.2585	0.2585	0.2381
117	127	6883	98	0.2810	0.2479	0.2066	0.2645
118	168	11849	128	0.2727	0.1576	0.2909	0.2788
119	170	2974	24	0.1977	0.2442	0.0930	0.4651
120	157	9106	98	0.2564	0.2564	0.2692	0.2179
121	195	11195	94	0.2461	0.2461	0.2356	0.2723
122	139	5991	70	0.2263	0.3285	0.2409	0.2044
123	199	7749	55	0.2601	0.2486	0.2023	0.2890
124	155	4937	45	0.3178	0.2403	0.1860	0.2558
125	149	4767	45	0.2681	0.2681	0.1957	0.2681
126	185	3769	28	0.3211	0.1651	0.0826	0.4312
127	176	6545	53	0.2394	0.2042	0.2042	0.3521
128	137	3898	39	0.2636	0.2182	0.2273	0.2909
129	184	14093	138	0.2857	0.2637	0.2692	0.1813
130	159	10601	120	0.2756	0.2564	0.1923	0.2756
131	136	6964	91	0.2707	0.2256	0.2632	0.2406
132	181	6556	50	0.2453	0.2327	0.2075	0.3145
133	113	1837	22	0.2742	0.1452	0.1129	0.4677
134	167	10355	108	0.2236	0.2609	0.2609	0.2547
135	130	2329	25	0.2073	0.2195	0.0732	0.5000
136	146	8904	108	0.2361	0.3056	0.1806	0.2778
137	145	8817	108	0.3103	0.2690	0.2207	0.2000
138	115	4174	59	0.2336	0.2243	0.2523	0.2897
139	191	10692	91	0.2228	0.2446	0.2717	0.2609
140	133	6684	85	0.3000	0.2385	0.2154	0.2462
141	134	3835	40	0.2500	0.2065	0.1196	0.4239
142	191	13487	121	0.2446	0.2717	0.2228	0.2609
143	192	3850	29	0.2347	0.2143	0.0714	0.4796
144	150	2514	24	0.1857	0.2143	0.0714	0.5286
145	175	9378	87	0.3179	0.1908	0.2254	0.2659
146	134	5624	69	0.3308	0.2180	0.2707	0.1805
147	103	2255	32	0.3494	0.2651	0.1687	0.2169
148	136	4314	46	0.2314	0.1983	0.2066	0.3636
149	189	13220	122	0.2802	0.2527	0.2143	0.2527
150	182	12330	118	0.2416	0.2416	0.1966	0.3202
151	124	4914	64	0.2773	0.1681	0.2017	0.3529
152	197	8122	59	0.2629	0.3029	0.2057	0.2286
153	151	4511	41	0.2797	0.2034	0.1610	0.3559
154	175	3108	26	0.1957	0.1630	0.1087	0.5326
155	101	2264	32	0.2778	0.1889	0.2778	0.2556
156	152	7183	76	0.1905	0.2653	0.2721	0.2721
157	167	6064	52	0.2555	0.1752	0.1971	0.3723
158	105	4681	80	0.1923	0.2115	0.2788	0.3173
159	112	3962	56	0.2963	0.2593	0.1852	0.2593
160	178	6595	52	0.2708	0.2361	0.1319	0.3611
161	159	9392	100	0.2026	0.2222	0.3137	0.2614
162	149	6771	74	0.3262	0.2908	0.1348	0.2482
163	119	3237	39	0.2174	0.2957	0.2522	0.2348
164	174	12518	130	0.2882	0.2118	0.2294	0.2706
165	199	3560	26	0.1979	0.2812	0.0625	0.4583
166	189	6897	52	0.2372	0.2949	0.1859	0.2821
167	198	4094	29	0.1667	0.2333	0.0333	0.5667
168	127	6796	95	0.2937	0.2381	0.2381	0.2302
169	179	3333	26	0.2551	0.2245	0.1020	0.4184
170	152	8740	99	0.2466	0.2945	0.2671	0.1918
171	115	5558	84	0.2389	0.2743	0.2566	0.2301
172	193	7159	53	0.2941	0.2647	0.1882	0.2529
173	138	5907	67	0.2672	0.2519	0.2595	0.2214
174	123	6384	93	0.3033	0.2131	0.2131	0.2705
175	184	10000	88	0.2346	0.2514	0.2291	0.2849
176	184	10140	90	0.2389	0.2556	0.2500	0.2556
177	104	3396	51	0.2451	0.2353	0.2549	0.2647
178	175	6486	51	0.2516	0.2645	0.2000	0.2839
179	173	5943	49	0.2901	0.2593	0.1605	0.2901
180	100	4192	73	0.2551	0.2245	0.2755	0.2449
181	133	2036	20	0.2674	0.2791	0.0581	0.3953
182	184	10294	90	0.2629	0.2743	0.2629	0.2000
183	139	7219	88	0.1912	0.2647	0.2721	0.2721
184	193	11113	92	0.2541	0.2486	0.2376	0.2597
185	157	9088	102	0.2763	0.2566	0.1645	0.3026
186	181	9506	84	0.2647	0.2765	0.2118	0.2471
187	154	9939	114	0.1946	0.2349	0.2953	0.2752
188	158	5292	48	0.2606	0.2324	0.1831	0.3239
