betaD	betaI	betaS	betaC	D%	I%	S%	C%	IS%
0.7	4.0	7.0	5.0	24.45	25.90	25.57	24.08	51.47
0.7	3.0	2.5	2.0	24.42	25.84	25.55	24.19	51.39
0.7	5.0	5.5	3.5	24.47	24.71	26.44	24.38	51.15
1.0	4.0	4.0	2.0	24.33	25.84	25.12	24.72	50.95
0.7	7.0	2.5	3.5	25.08	24.07	26.68	24.17	50.75
1.0	3.0	2.5	5.0	25.06	24.90	25.80	24.24	50.70
0.7	4.0	7.0	2.0	24.79	25.07	25.62	24.51	50.70
0.7	4.0	4.0	5.0	25.57	25.63	25.04	23.75	50.68
1.5	3.0	7.0	2.0	24.76	25.73	24.91	24.60	50.64
1.5	4.0	5.5	2.0	24.44	25.02	25.61	24.93	50.63
1.0	3.0	4.0	3.5	24.59	24.62	25.97	24.81	50.60
1.5	4.0	4.0	5.0	24.38	25.08	25.52	25.03	50.59
1.5	6.0	2.5	5.0	25.42	24.96	25.60	24.02	50.56
0.7	3.0	4.0	3.5	24.66	24.41	26.14	24.79	50.55
0.7	5.0	4.0	2.0	24.22	24.96	25.56	25.26	50.52
1.0	3.0	2.5	2.0	24.46	25.10	25.38	25.06	50.48
1.0	3.0	2.5	3.5	24.50	25.85	24.62	25.02	50.48
0.7	3.0	4.0	5.0	24.58	25.54	24.91	24.98	50.45
1.5	3.0	5.5	3.5	24.40	25.51	24.93	25.16	50.44
0.7	4.0	2.5	3.5	24.21	25.57	24.84	25.38	50.41
1.5	5.0	7.0	3.5	25.61	24.43	25.97	24.00	50.40
0.7	4.0	4.0	2.0	24.71	25.36	25.03	24.90	50.39
0.7	4.0	2.5	2.0	24.55	24.69	25.69	25.07	50.38
1.0	5.0	5.5	2.0	25.22	24.84	25.53	24.40	50.37
1.5	5.0	5.5	5.0	25.23	24.63	25.70	24.43	50.33
1.5	5.0	2.5	3.5	24.45	25.10	25.23	25.22	50.33
1.0	3.0	7.0	2.0	24.54	24.67	25.65	25.14	50.31
1.0	6.0	2.5	5.0	24.72	25.38	24.93	24.97	50.31
1.0	4.0	2.5	3.5	24.59	25.36	24.94	25.11	50.30
0.7	5.0	4.0	3.5	25.50	25.07	25.23	24.21	50.29
0.7	5.0	2.5	5.0	24.22	25.08	25.20	25.50	50.28
1.0	4.0	5.5	5.0	24.72	25.47	24.79	25.02	50.26
0.7	3.0	7.0	3.5	25.11	24.89	25.36	24.64	50.25
1.0	3.0	5.5	3.5	24.20	25.35	24.90	25.55	50.25
0.7	5.0	4.0	5.0	25.40	24.99	25.25	24.36	50.24
1.0	3.0	5.5	5.0	25.06	25.05	25.17	24.71	50.22
1.0	4.0	5.5	2.0	25.27	24.32	25.88	24.52	50.21
1.0	3.0	7.0	5.0	25.42	24.95	25.22	24.40	50.17
1.5	4.0	2.5	5.0	25.15	25.58	24.59	24.67	50.17
1.5	7.0	4.0	2.0	24.78	23.13	27.02	25.06	50.15
1.5	4.0	2.5	3.5	24.67	24.58	25.58	25.18	50.15
1.5	3.0	7.0	3.5	24.77	25.79	24.36	25.07	50.15
0.7	4.0	5.5	3.5	24.30	24.82	25.32	25.55	50.14
1.5	3.0	4.0	3.5	25.06	24.64	25.50	24.80	50.14
0.7	4.0	4.0	3.5	25.36	25.26	24.85	24.52	50.12
0.7	3.0	2.5	3.5	25.54	25.69	24.42	24.35	50.11
1.5	5.0	2.5	2.0	24.80	24.87	25.23	25.10	50.10
1.0	5.0	2.5	2.0	24.75	25.13	24.97	25.15	50.10
0.7	3.0	5.5	5.0	25.00	24.06	26.02	24.91	50.09
1.0	3.0	4.0	2.0	25.17	24.60	25.47	24.76	50.07
1.0	3.0	7.0	3.5	25.03	24.99	25.08	24.91	50.06
1.0	6.0	4.0	2.0	25.50	24.13	25.93	24.45	50.06
1.0	5.0	5.5	5.0	24.38	24.65	25.40	25.57	50.04
0.7	5.0	5.5	5.0	24.69	24.67	25.37	25.28	50.04
1.5	3.0	5.5	5.0	24.90	24.69	25.35	25.06	50.04
1.0	7.0	4.0	2.0	25.46	23.36	26.67	24.50	50.03
1.5	3.0	2.5	5.0	25.23	25.50	24.52	24.75	50.02
0.7	6.0	5.5	2.0	25.15	24.17	25.86	24.83	50.02
1.0	4.0	7.0	3.5	24.24	24.89	25.12	25.75	50.01
0.7	7.0	4.0	5.0	24.41	24.93	25.08	25.58	50.01
1.5	6.0	7.0	5.0	24.78	24.49	25.51	25.22	50.00
0.7	5.0	2.5	2.0	24.66	24.65	25.35	25.35	50.00
0.7	6.0	4.0	2.0	25.09	23.95	26.03	24.92	49.98
1.0	5.0	5.5	3.5	24.74	24.20	25.77	25.28	49.98
1.0	6.0	5.5	5.0	24.98	23.79	26.18	25.05	49.97
1.0	4.0	5.5	3.5	24.76	24.81	25.15	25.27	49.96
1.5	4.0	7.0	3.5	25.13	24.85	25.11	24.92	49.96
1.0	4.0	2.5	5.0	24.63	25.05	24.88	25.44	49.93
1.5	3.0	5.5	2.0	25.14	25.05	24.87	24.94	49.92
0.7	3.0	2.5	5.0	24.88	24.78	25.12	25.22	49.90
1.5	4.0	7.0	5.0	25.28	24.00	25.89	24.83	49.89
0.7	4.0	2.5	5.0	25.35	25.24	24.64	24.77	49.88
1.5	3.0	7.0	5.0	24.19	24.72	25.15	25.94	49.87
1.5	5.0	4.0	3.5	24.89	25.37	24.46	25.28	49.83
1.5	5.0	7.0	2.0	24.81	23.89	25.94	25.36	49.83
1.0	5.0	2.5	5.0	24.99	24.22	25.59	25.20	49.81
1.0	4.0	2.5	2.0	25.34	25.18	24.63	24.84	49.81
1.5	3.0	2.5	3.5	24.70	24.59	25.22	25.49	49.81
1.0	5.0	4.0	3.5	25.81	24.70	25.11	24.38	49.81
1.0	5.0	4.0	5.0	25.94	24.60	25.22	24.25	49.81
1.0	6.0	2.5	2.0	25.39	24.08	25.73	24.80	49.81
0.7	4.0	5.5	5.0	25.03	25.70	24.11	25.17	49.80
1.0	3.0	4.0	5.0	25.36	24.41	25.39	24.84	49.80
0.7	7.0	2.5	5.0	25.01	24.36	25.43	25.20	49.79
1.5	6.0	5.5	3.5	25.36	24.47	25.31	24.85	49.78
1.0	6.0	2.5	3.5	25.14	24.42	25.36	25.08	49.77
0.7	3.0	4.0	2.0	25.20	24.50	25.27	25.03	49.77
1.0	7.0	4.0	3.5	25.45	23.98	25.77	24.79	49.76
0.7	7.0	7.0	5.0	25.44	25.02	24.73	24.80	49.75
0.7	5.0	7.0	2.0	24.60	23.99	25.76	25.65	49.75
0.7	6.0	4.0	5.0	24.88	24.53	25.21	25.38	49.75
1.5	4.0	5.5	5.0	24.73	25.07	24.67	25.53	49.74
1.5	4.0	5.5	3.5	24.71	24.72	25.02	25.55	49.74
1.5	7.0	2.5	5.0	25.24	23.97	25.75	25.03	49.73
1.5	4.0	2.5	2.0	24.62	25.25	24.46	25.66	49.71
1.0	5.0	2.5	3.5	25.05	24.80	24.89	25.27	49.68
0.7	7.0	7.0	3.5	24.70	23.11	26.56	25.62	49.67
1.0	5.0	7.0	3.5	25.49	25.48	24.18	24.84	49.66
1.0	7.0	2.5	5.0	25.00	23.90	25.76	25.34	49.66
1.5	4.0	7.0	2.0	24.59	24.39	25.27	25.75	49.66
1.0	7.0	5.5	5.0	24.15	24.17	25.46	26.22	49.63
0.7	5.0	5.5	2.0	25.64	25.00	24.58	24.78	49.58
1.0	5.0	7.0	5.0	24.87	24.95	24.63	25.55	49.58
0.7	7.0	4.0	3.5	25.09	24.20	25.37	25.34	49.57
0.7	4.0	5.5	2.0	24.81	25.00	24.55	25.64	49.54
0.7	5.0	2.5	3.5	24.26	24.85	24.69	26.20	49.54
1.0	6.0	7.0	5.0	25.40	24.12	25.40	25.08	49.52
1.0	7.0	7.0	5.0	25.34	23.72	25.80	25.14	49.52
1.0	3.0	5.5	2.0	25.74	23.96	25.55	24.75	49.51
1.5	5.0	4.0	2.0	25.03	25.35	24.16	25.46	49.51
1.0	5.0	4.0	2.0	25.86	24.33	25.18	24.63	49.51
1.5	5.0	2.5	5.0	24.66	24.36	25.12	25.86	49.48
1.5	4.0	4.0	3.5	25.32	24.74	24.73	25.21	49.47
1.5	4.0	4.0	2.0	25.38	25.29	24.17	25.16	49.46
1.5	5.0	7.0	5.0	24.84	24.70	24.75	25.71	49.45
0.7	7.0	4.0	2.0	25.48	24.24	25.20	25.07	49.45
1.5	3.0	2.5	2.0	25.09	25.03	24.40	25.48	49.43
1.0	4.0	7.0	5.0	26.01	24.83	24.57	24.59	49.40
1.5	7.0	2.5	3.5	25.90	23.83	25.55	24.71	49.38
1.5	3.0	4.0	5.0	25.24	25.16	24.21	25.39	49.38
1.0	6.0	4.0	5.0	25.34	24.27	25.10	25.29	49.37
0.7	4.0	7.0	3.5	25.90	24.48	24.85	24.77	49.33
1.0	4.0	4.0	5.0	25.59	25.03	24.30	25.09	49.33
1.5	3.0	4.0	2.0	25.31	24.53	24.78	25.39	49.30
0.7	6.0	2.5	5.0	25.80	24.37	24.93	24.90	49.30
1.0	6.0	4.0	3.5	25.21	23.78	25.51	25.50	49.29
0.7	6.0	2.5	3.5	25.61	24.49	24.79	25.11	49.28
1.0	7.0	5.5	3.5	24.86	23.42	25.86	25.86	49.28
1.5	5.0	4.0	5.0	25.24	24.41	24.87	25.48	49.27
1.5	7.0	4.0	3.5	26.23	22.93	26.35	24.50	49.27
1.5	6.0	5.5	5.0	25.30	24.30	24.95	25.45	49.25
1.0	5.0	7.0	2.0	25.51	23.32	25.92	25.25	49.24
1.0	4.0	4.0	3.5	25.90	25.20	24.00	24.90	49.20
0.7	6.0	7.0	5.0	25.43	23.91	25.28	25.38	49.19
0.7	6.0	5.5	3.5	25.06	23.69	25.49	25.76	49.18
0.7	7.0	7.0	2.0	25.54	23.41	25.73	25.32	49.13
1.0	7.0	4.0	5.0	25.67	24.39	24.74	25.19	49.13
0.7	6.0	7.0	2.0	25.92	24.46	24.64	24.98	49.10
1.0	4.0	7.0	2.0	25.53	24.74	24.35	25.38	49.09
1.5	6.0	4.0	2.0	25.98	23.61	25.44	24.97	49.05
1.5	6.0	2.5	2.0	25.37	24.53	24.51	25.59	49.04
1.5	7.0	4.0	5.0	25.78	23.41	25.60	25.22	49.01
0.7	7.0	5.5	3.5	25.41	23.51	25.46	25.62	48.97
0.7	5.0	7.0	3.5	25.90	23.96	24.98	25.15	48.94
0.7	5.0	7.0	5.0	25.37	23.88	25.04	25.71	48.92
0.7	3.0	5.5	3.5	25.55	24.84	24.05	25.55	48.89
1.5	6.0	4.0	3.5	25.27	23.81	25.05	25.88	48.85
0.7	6.0	5.5	5.0	25.62	23.93	24.92	25.53	48.85
1.5	5.0	5.5	2.0	25.83	23.26	25.59	25.33	48.84
1.0	7.0	2.5	2.0	25.40	23.47	25.37	25.76	48.84
0.7	3.0	7.0	5.0	25.30	24.18	24.65	25.88	48.82
1.5	7.0	5.5	2.0	25.20	22.43	26.36	26.01	48.79
0.7	3.0	7.0	2.0	25.59	24.52	24.26	25.62	48.79
1.5	7.0	5.5	5.0	25.54	22.78	26.01	25.68	48.78
0.7	7.0	5.5	2.0	26.55	23.15	25.62	24.68	48.78
1.5	7.0	2.5	2.0	25.80	23.52	25.25	25.43	48.77
1.0	7.0	2.5	3.5	26.22	23.52	25.21	25.05	48.73
1.5	6.0	7.0	2.0	26.09	23.41	25.30	25.20	48.71
0.7	6.0	4.0	3.5	25.63	23.41	25.28	25.68	48.69
1.5	5.0	5.5	3.5	25.09	23.65	25.03	26.22	48.68
0.7	3.0	5.5	2.0	26.05	23.93	24.74	25.29	48.66
1.5	6.0	2.5	3.5	26.23	23.96	24.69	25.12	48.66
1.0	7.0	5.5	2.0	26.13	22.65	25.93	25.28	48.59
1.0	6.0	5.5	3.5	25.37	23.62	24.95	26.07	48.57
1.5	6.0	4.0	5.0	26.51	23.96	24.60	24.93	48.56
1.5	6.0	5.5	2.0	25.85	23.69	24.86	25.60	48.55
0.7	7.0	2.5	2.0	26.11	23.54	25.00	25.35	48.54
1.5	6.0	7.0	3.5	25.98	23.81	24.73	25.48	48.54
1.0	7.0	7.0	2.0	25.23	22.45	26.06	26.26	48.50
1.5	7.0	7.0	5.0	26.53	22.79	25.69	24.99	48.48
1.0	6.0	7.0	2.0	25.12	23.62	24.83	26.43	48.46
0.7	7.0	5.5	5.0	25.86	23.94	24.33	25.86	48.27
1.5	7.0	5.5	3.5	25.79	22.36	25.87	25.98	48.23
0.7	6.0	7.0	3.5	25.71	23.01	25.21	26.07	48.22
0.7	6.0	2.5	2.0	26.42	24.05	24.11	25.43	48.15
1.0	7.0	7.0	3.5	26.28	23.00	25.07	25.64	48.08
1.5	7.0	7.0	2.0	26.95	22.16	25.81	25.08	47.96
1.5	7.0	7.0	3.5	25.42	22.69	25.22	26.67	47.91
1.0	6.0	7.0	3.5	26.48	23.15	24.66	25.71	47.81
1.0	6.0	5.5	2.0	26.79	23.66	24.01	25.53	47.67
