Configuration	D(%)	I(%)	S(%)	C(%)	D_sd	I_sd	S_sd	C_sd	RMSE
bD=1,0 bI=2,5 bS=4,5 bC=2,0	23.28	25.86	34.52	16.33	3.58	4.67	12.13	9.13	14.93
bD=1,0 bI=3,5 bS=4,5 bC=3,0	24.74	26.72	33.19	15.35	5.26	3.46	11.18	8.71	15.31
bD=2,0 bI=4,5 bS=3,5 bC=2,0	25.07	25.01	34.11	15.81	4.58	3.70	7.93	9.48	15.45
bD=1,0 bI=2,5 bS=3,5 bC=2,0	26.03	25.83	32.42	15.72	3.42	3.99	7.73	8.14	16.09
bD=2,0 bI=2,5 bS=4,5 bC=2,0	26.27	24.93	32.12	16.67	4.62	4.06	10.14	8.75	16.61
bD=1,5 bI=3,5 bS=2,5 bC=3,0	27.76	26.90	30.60	14.74	5.18	4.39	6.31	7.74	16.76
bD=1,5 bI=4,5 bS=3,5 bC=3,0	24.27	27.00	30.44	18.30	4.97	5.41	8.15	8.95	16.89
bD=2,0 bI=3,5 bS=3,5 bC=3,0	26.71	24.21	32.03	17.05	3.70	4.17	10.52	8.93	16.95
bD=1,5 bI=2,5 bS=3,5 bC=3,0	25.91	25.46	31.11	17.52	5.67	4.88	8.61	7.36	17.00
bD=1,5 bI=3,5 bS=4,5 bC=2,0	26.47	23.64	32.02	17.86	4.37	2.69	7.95	7.39	17.20
bD=2,0 bI=2,5 bS=3,5 bC=2,0	24.59	25.31	30.75	19.36	4.17	3.99	8.28	7.90	17.36
bD=1,0 bI=4,5 bS=4,5 bC=3,0	24.41	27.48	29.25	18.86	4.30	3.96	7.46	7.44	17.44
bD=1,0 bI=2,5 bS=4,5 bC=3,0	25.86	26.25	29.80	18.09	2.94	3.91	10.33	7.91	17.48
bD=1,0 bI=4,5 bS=4,5 bC=2,0	25.03	26.52	29.68	18.77	5.50	4.99	8.40	8.17	17.50
bD=2,0 bI=3,5 bS=4,5 bC=3,0	23.56	26.98	29.54	19.92	3.39	4.10	9.74	10.21	17.53
bD=2,0 bI=3,5 bS=2,5 bC=3,0	25.98	27.50	28.80	17.72	4.54	4.49	3.78	6.34	17.62
bD=1,5 bI=4,5 bS=4,5 bC=3,0	23.40	27.72	28.85	20.03	3.44	4.17	9.06	8.28	17.69
bD=1,0 bI=2,5 bS=3,5 bC=3,0	23.64	26.07	29.81	20.48	4.57	3.05	7.39	7.65	17.72
bD=2,0 bI=4,5 bS=4,5 bC=2,0	24.44	27.83	28.44	19.29	3.22	3.88	6.31	8.56	17.81
bD=1,5 bI=3,5 bS=2,5 bC=2,0	26.77	25.66	29.57	18.00	4.21	3.28	5.50	7.51	17.82
bD=1,5 bI=4,5 bS=3,5 bC=2,0	25.53	27.59	28.20	18.68	4.35	5.14	6.21	7.58	17.98
bD=1,5 bI=4,5 bS=2,5 bC=2,0	25.32	25.96	29.07	19.65	5.20	5.18	6.39	6.56	18.08
bD=1,0 bI=3,5 bS=3,5 bC=3,0	25.60	27.32	27.94	19.14	4.48	5.15	6.97	7.76	18.23
bD=1,0 bI=4,5 bS=3,5 bC=2,0	23.52	26.11	28.95	21.42	5.68	5.04	7.58	7.33	18.26
bD=2,0 bI=4,5 bS=2,5 bC=3,0	27.47	26.37	28.32	17.83	3.96	4.76	4.33	8.49	18.28
bD=2,0 bI=2,5 bS=3,5 bC=3,0	24.21	26.72	28.22	20.85	4.12	4.55	4.44	5.58	18.41
bD=1,5 bI=2,5 bS=3,5 bC=2,0	27.64	25.50	28.54	18.31	3.43	4.05	6.08	7.06	18.47
bD=1,5 bI=4,5 bS=2,5 bC=3,0	25.65	27.23	27.59	19.53	3.41	4.05	4.87	6.18	18.48
bD=2,0 bI=3,5 bS=4,5 bC=2,0	23.92	26.00	28.60	21.48	2.53	3.04	6.45	6.24	18.48
bD=2,0 bI=2,5 bS=4,5 bC=3,0	28.06	25.14	28.48	18.32	4.24	3.50	6.81	8.37	18.63
