Configuration	D_mean(%)	I_mean(%)	S_mean(%)	C_mean(%)	D_sd	I_sd	S_sd	C_sd	Ranking
Baseline	26.66	27.16	25.89	20.29	4.37	4.73	3.96	6.87	I>D>S>C
betaI = 2.4 (-20%)	26.85	26.47	25.81	20.87	4.72	4.15	4.66	7.13	D>I>S>C
betaI = 3.6 (+20%)	26.13	26.81	25.80	21.26	4.18	5.24	3.81	6.51	I>D>S>C
alphaD = 0.48 (-20%)	26.08	26.43	25.82	21.67	4.00	5.23	4.03	6.16	I>D>S>C
alphaD = 0.72 (+20%)	26.78	26.84	25.83	20.55	4.27	4.75	4.05	6.93	I>D>S>C
betaS = 2.0 (-20%)	26.40	27.20	25.00	21.40	4.52	5.35	4.12	7.52	I>D>S>C
betaS = 3.0 (+20%)	27.28	26.41	26.60	19.71	5.36	4.42	4.31	7.29	D>S>I>C
betaD = 1.2 (-20%)	25.98	27.76	26.10	20.16	4.79	4.37	4.51	6.91	I>S>D>C
betaD = 1.8 (+20%)	27.12	26.54	25.48	20.85	5.14	4.62	4.15	7.07	D>I>S>C
betaC = 1.6 (-20%)	25.76	26.16	25.72	22.37	4.27	4.21	4.26	6.46	I>D>S>C
betaC = 2.4 (+20%)	26.00	26.96	26.58	20.46	4.26	4.42	4.42	7.53	I>S>D>C
